scenario;rakennus_tyyppi;lammitysmuoto;kaukolampo;kevyt_oljy;raskas_oljy;kaasu;sahko;puu;turve;hiili;maalampo;muu_lammitys
wemh;opetus;kevyt_oljy;0.0043;-0.0430;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0387;0.0000
wemh;opetus;raskas_oljy;0.0043;0.0000;-0.0430;0.0000;0.0000;0.0000;0.0000;0.0000;0.0387;0.0000
wemh;opetus;kaasu;0.0027;0.0000;0.0000;-0.0266;0.0000;0.0000;0.0000;0.0000;0.0239;0.0000
wemh;opetus;sahko;0.0005;0.0000;0.0000;0.0000;-0.0094;0.0000;0.0000;0.0000;0.0089;0.0000
wemh;opetus;puu;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000
wemh;opetus;turve;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000
wemh;opetus;hiili;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000
wemh;opetus;maalampo;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000
wemh;opetus;muu_lammitys;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000
wemh;teoll;kaukolampo;-0.0031;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0031;0.0000
