vuosi;kunta;xyind;v_yht;v_0_6;v_7_14;v_15_17;v_18_29;v_30_49;v_50_64;v_65_74;v_75
2019;790;2748756831875;5;0;0;0;0;0;2;3;0
2019;790;2753756831875;2;0;0;0;0;0;2;0;0
2019;790;2756256831875;23;1;1;0;4;1;4;12;0
2019;790;2758756831875;33;0;3;0;1;6;8;5;10
2019;790;2761256831875;14;0;0;0;1;0;1;6;6
2019;790;2763756831875;16;1;2;2;1;3;3;2;2
2019;790;2768756831875;1;0;0;0;0;0;1;0;0
2019;790;2828756831875;4;0;0;0;0;3;1;0;0
2019;790;2866256831875;1;0;0;0;0;0;0;1;0
2019;790;2868756831875;4;0;0;1;1;0;2;0;0
2019;790;2873756831875;5;1;1;1;0;2;0;0;0
2019;790;2883756831875;4;0;0;0;1;1;2;0;0
2019;790;2736256832125;2;0;0;0;0;0;2;0;0
2019;790;2738756832125;2;0;0;0;0;0;2;0;0
2019;790;2741256832125;2;0;0;0;0;1;0;0;1
2019;790;2746256832125;1;0;0;0;0;0;1;0;0
2019;790;2758756832125;22;0;0;1;4;0;5;3;9
2019;790;2761256832125;31;0;3;0;2;4;3;8;11
2019;790;2763756832125;14;0;0;0;1;3;4;2;4
2019;790;2766256832125;2;0;0;0;0;0;0;0;2
2019;790;2768756832125;10;0;0;0;0;3;2;4;1
2019;790;2823756832125;4;0;0;0;0;2;0;2;0
2019;790;2851256832125;2;0;0;0;0;0;0;0;2
2019;790;2853756832125;2;0;0;0;0;2;0;0;0
2019;790;2886256832125;1;0;0;0;0;0;1;0;0
2019;790;2696256832375;2;0;0;0;0;1;1;0;0
2019;790;2756256832375;1;0;0;0;0;0;0;1;0
2019;790;2758756832375;1;0;0;0;0;0;1;0;0
2019;790;2763756832375;1;0;0;0;0;0;1;0;0
2019;790;2766256832375;6;0;0;0;0;1;1;3;1
2019;635;3501256806125;12;2;2;2;0;6;0;0;0
2019;635;3506256806125;8;1;1;0;2;3;0;0;1
2019;635;3508756806125;2;0;0;0;0;2;0;0;0
2019;635;3511256806125;1;0;0;0;0;0;0;1;0
2019;635;3528756806125;10;0;0;0;0;4;1;4;1
2019;635;3538756806125;7;0;0;0;1;1;3;2;0
2019;635;3541256806125;5;1;2;0;0;2;0;0;0
2019;635;3543756806125;1;0;0;0;0;0;0;0;1
2019;635;3621256806125;1;0;0;0;0;0;1;0;0
2019;635;3631256806125;2;0;0;0;0;0;0;1;1
2019;635;3716256806125;2;0;0;0;0;0;0;2;0
2019;635;3751256806125;5;0;0;0;1;1;3;0;0
2019;635;3753756806125;11;0;1;0;0;2;1;3;4
2019;635;3756256806125;11;1;2;0;2;1;3;2;0
2019;635;3758756806125;5;0;1;0;1;1;0;2;0
2019;635;3761256806125;3;0;0;0;0;1;2;0;0
2019;635;3806256806125;1;0;0;0;0;0;0;1;0
2019;635;3463756806375;3;0;0;0;0;0;2;1;0
2019;635;3466256806375;4;0;1;1;0;2;0;0;0
2019;635;3491256806375;6;1;0;0;0;4;0;0;1
2019;635;3498756806375;2;0;0;0;0;0;0;0;2
2019;635;3501256806375;2;0;0;0;0;0;2;0;0
2019;635;3506256806375;3;0;0;0;0;0;2;0;1
2019;635;3526256806375;7;4;0;0;1;2;0;0;0
2019;635;3528756806375;1;0;0;0;0;0;0;1;0
2019;635;3531256806375;3;0;0;0;0;3;0;0;0
