scenario;year;kmuoto;kvoima_bensiini;kvoima_etanoli;kvoima_diesel;kvoima_kaasu;kvoima_phev_b;kvoima_phev_d;kvoima_ev;kvoima_vety;kvoima_muut
wemp;2049;pauto;0.84;0.77;0.77;0.92;0.31;0.00;0.31;0.12;0.00
wemp;2049;kauto;1.84;1.67;1.52;1.37;1.43;1.43;0.96;0.96;0.00
wemp;2050;jalkapyora;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
wemp;2050;bussi;1.45;1.45;1.32;1.48;1.46;1.46;0.49;0.49;0.00
wemp;2050;raide;0.00;0.00;0.00;0.00;0.00;0.00;7.12;0.00;0.00
wemp;2050;hlauto;0.57;0.63;0.53;0.57;0.40;0.39;0.18;0.16;0.00
wemp;2050;muu;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.87
wemp;2050;pauto;0.84;0.77;0.77;0.92;0.31;0.00;0.31;0.12;0.00
wemp;2050;kauto;1.81;1.64;1.49;1.35;1.41;1.41;0.94;0.94;0.00
wemh;2018;jalkapyora;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
wemh;2018;bussi;4.23;4.23;3.85;4.32;4.26;4.26;1.42;1.42;0.00
wemh;2018;raide;0.00;0.00;0.00;0.00;0.00;0.00;10.57;0.00;0.00
wemh;2018;hlauto;0.63;0.59;0.59;0.54;0.41;0.39;0.19;0.20;0.00
wemh;2018;muu;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;1.26
wemh;2018;pauto;1.18;1.07;1.07;0.98;0.33;0.00;0.36;0.12;0.00
wemh;2018;kauto;2.75;2.50;2.38;2.14;2.99;2.99;1.50;1.87;0.00
wemh;2019;jalkapyora;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
wemh;2019;bussi;4.11;4.11;3.74;4.20;4.13;4.13;1.38;1.38;0.00
wemh;2019;raide;0.00;0.00;0.00;0.00;0.00;0.00;10.51;0.00;0.00
wemh;2019;hlauto;0.63;0.59;0.59;0.55;0.41;0.39;0.19;0.20;0.00
wemh;2019;muu;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;1.26
wemh;2019;pauto;1.16;1.06;1.06;0.98;0.33;0.00;0.36;0.12;0.00
wemh;2019;kauto;2.74;2.49;2.37;2.13;2.98;2.98;1.49;1.87;0.00
wemh;2020;jalkapyora;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
wemh;2020;bussi;3.99;3.99;3.63;4.08;4.01;4.01;1.34;1.34;0.00
wemh;2020;raide;0.00;0.00;0.00;0.00;0.00;0.00;10.46;0.00;0.00
wemh;2020;hlauto;0.63;0.59;0.59;0.55;0.41;0.39;0.19;0.20;0.00
wemh;2020;muu;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;1.25
wemh;2020;pauto;1.15;1.05;1.05;0.98;0.33;0.00;0.35;0.12;0.00
wemh;2020;kauto;2.73;2.48;2.36;2.13;2.98;2.98;1.49;1.86;0.00
wemh;2021;jalkapyora;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
wemh;2021;bussi;3.87;3.87;3.52;3.96;3.90;3.90;1.30;1.30;0.00
wemh;2021;raide;0.00;0.00;0.00;0.00;0.00;0.00;9.86;0.00;0.00
wemh;2021;hlauto;0.62;0.60;0.59;0.55;0.41;0.39;0.19;0.20;0.00
wemh;2021;muu;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;1.25
wemh;2021;pauto;1.14;1.04;1.04;0.97;0.33;0.00;0.35;0.12;0.00
wemh;2021;kauto;2.72;2.48;2.36;2.12;2.97;2.97;1.48;1.86;0.00
wemh;2022;jalkapyora;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
wemh;2022;bussi;3.76;3.76;3.42;3.84;3.79;3.79;1.26;1.26;0.00
wemh;2022;raide;0.00;0.00;0.00;0.00;0.00;0.00;9.28;0.00;0.00
wemh;2022;hlauto;0.62;0.60;0.59;0.55;0.41;0.39;0.18;0.20;0.00
wemh;2022;muu;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;1.24
wemh;2022;pauto;1.13;1.03;1.03;0.97;0.33;0.00;0.35;0.12;0.00
wemh;2022;kauto;2.72;2.47;2.35;2.12;2.96;2.96;1.48;1.85;0.00
wemh;2023;jalkapyora;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
wemh;2023;bussi;3.65;3.65;3.32;3.73;3.68;3.68;1.23;1.23;0.00
wemh;2023;raide;0.00;0.00;0.00;0.00;0.00;0.00;8.72;0.00;0.00
wemh;2023;hlauto;0.62;0.60;0.59;0.55;0.41;0.38;0.18;0.20;0.00
wemh;2023;muu;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;1.23
wemh;2023;pauto;1.10;1.01;1.01;0.97;0.32;0.00;0.34;0.12;0.00
wemh;2023;kauto;2.71;2.46;2.35;2.11;2.95;2.95;1.48;1.85;0.00
wemh;2024;jalkapyora;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
wemh;2024;bussi;3.54;3.54;3.22;3.62;3.57;3.57;1.19;1.19;0.00
wemh;2024;raide;0.00;0.00;0.00;0.00;0.00;0.00;8.16;0.00;0.00
wemh;2024;hlauto;0.61;0.60;0.59;0.55;0.41;0.38;0.18;0.20;0.00
wemh;2024;muu;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;1.22
wemh;2024;pauto;1.07;0.99;0.99;0.97;0.32;0.00;0.34;0.12;0.00
wemh;2024;kauto;2.70;2.45;2.34;2.10;2.94;2.94;1.47;1.84;0.00
wemh;2025;jalkapyora;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
wemh;2025;bussi;3.40;3.40;3.10;3.48;3.43;3.43;1.14;1.14;0.00
wemh;2025;raide;0.00;0.00;0.00;0.00;0.00;0.00;7.62;0.00;0.00
