mun;scenario;year;kmuoto;kvoima_bensiini;kvoima_etanoli;kvoima_diesel;kvoima_kaasu;kvoima_phev_b;kvoima_phev_d;kvoima_ev;kvoima_vety;kvoima_muut
837;wemp;2049;hlauto;0.033;0.000;0.015;0.001;0.035;0.000;0.902;0.013;0.000
837;wemp;2049;muu;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;1.000
837;wemp;2049;pauto;0.001;0.000;0.061;0.000;0.000;0.000;0.836;0.102;0.000
837;wemp;2049;kauto;0.000;0.000;0.485;0.113;0.000;0.098;0.304;0.000;0.000
837;wemp;2050;jalkapyora;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
837;wemp;2050;bussi;0.000;0.000;0.073;0.000;0.000;0.000;0.835;0.092;0.000
837;wemp;2050;raide;0.000;0.000;0.000;0.000;0.000;0.000;1.000;0.000;0.000
837;wemp;2050;hlauto;0.028;0.000;0.013;0.001;0.031;0.000;0.911;0.016;0.000
837;wemp;2050;muu;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;1.000
837;wemp;2050;pauto;0.001;0.000;0.049;0.000;0.000;0.000;0.840;0.109;0.000
837;wemp;2050;kauto;0.000;0.000;0.462;0.116;0.000;0.104;0.317;0.000;0.000
837;wemh;2018;jalkapyora;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
837;wemh;2018;bussi;0.000;0.000;0.993;0.004;0.000;0.000;0.002;0.000;0.000
837;wemh;2018;raide;0.000;0.000;0.000;0.000;0.000;0.000;1.000;0.000;0.000
837;wemh;2018;hlauto;0.599;0.001;0.372;0.006;0.016;0.003;0.003;0.000;0.000
837;wemh;2018;muu;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;1.000
837;wemh;2018;pauto;0.011;0.000;0.987;0.001;0.000;0.000;0.000;0.000;0.000
837;wemh;2018;kauto;0.000;0.000;0.998;0.000;0.000;0.000;0.001;0.000;0.001
837;wemh;2019;jalkapyora;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
837;wemh;2019;bussi;0.000;0.000;0.992;0.004;0.000;0.000;0.005;0.000;0.000
837;wemh;2019;raide;0.000;0.000;0.000;0.000;0.000;0.000;1.000;0.000;0.000
837;wemh;2019;hlauto;0.594;0.001;0.368;0.007;0.021;0.004;0.004;0.000;0.000
837;wemh;2019;muu;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;1.000
837;wemh;2019;pauto;0.011;0.000;0.986;0.002;0.000;0.000;0.000;0.000;0.000
837;wemh;2019;kauto;0.000;0.000;0.996;0.000;0.000;0.000;0.002;0.000;0.002
837;wemh;2020;jalkapyora;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
837;wemh;2020;bussi;0.000;0.000;0.987;0.004;0.000;0.000;0.009;0.000;0.000
837;wemh;2020;raide;0.000;0.000;0.000;0.000;0.000;0.000;1.000;0.000;0.000
837;wemh;2020;hlauto;0.591;0.001;0.368;0.007;0.023;0.004;0.005;0.000;0.000
837;wemh;2020;muu;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;1.000
837;wemh;2020;pauto;0.011;0.000;0.985;0.002;0.000;0.000;0.000;0.000;0.000
837;wemh;2020;kauto;0.000;0.000;0.994;0.000;0.000;0.000;0.002;0.000;0.003
837;wemh;2021;jalkapyora;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
837;wemh;2021;bussi;0.000;0.000;0.947;0.006;0.000;0.000;0.047;0.000;0.000
837;wemh;2021;raide;0.000;0.000;0.000;0.000;0.000;0.000;1.000;0.000;0.000
837;wemh;2021;hlauto;0.588;0.001;0.368;0.008;0.025;0.004;0.006;0.000;0.000
837;wemh;2021;muu;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;1.000
837;wemh;2021;pauto;0.013;0.000;0.979;0.003;0.000;0.000;0.003;0.000;0.000
