mun;year;erpien;rivita;askert
536;2038;40.9078288059;38.098846086;37.775974509
536;2039;40.92828271665;38.1178955067;37.794862497
536;2040;40.94874686205;38.13695445915;37.8137599209
536;2041;40.96922123145;38.1560229327;37.832666802
536;2042;40.98970584615;38.17510094865;37.8515831403
536;2043;41.0102006955;38.19418849635;37.8705089358
536;2044;41.0307058008;38.21328558645;37.8894441885
536;2045;41.0512211514;38.2323922296;37.90838890905
536;2046;41.07174675795;38.2515084258;37.92734309745
536;2047;41.0922826311;38.2706341857;37.946306775
536;2048;41.11282877085;38.28976949865;37.96527993105
536;2049;41.13338518785;38.30891438595;37.9842625656
536;2050;41.1539518821;38.32806883695;38.00325469995
211;2017;43.32;40.356;40.014
211;2018;43.3530657;40.376178;40.034007
211;2019;43.37474223;40.396366089;40.0540240092
211;2020;43.3964296014;40.416564267;40.0740510162
211;2021;43.4181278142;40.4367725568;40.0940880438
211;2022;43.4398368798;40.4569909356;40.1141350806
211;2023;43.4615567982;40.4772194376;40.1341921494
211;2024;43.4832875808;40.49745804;40.1542592502
211;2025;43.5050292276;40.517706777;40.174336383
211;2026;43.5267817386;40.5379656258;40.1944235478
211;2027;43.5485451252;40.5582346092;40.214520756
211;2028;43.5703193988;40.5785137272;40.234628019
211;2029;43.5921045594;40.5988029798;40.2547453368
211;2030;43.6139006184;40.6191023898;40.2748727094
211;2031;43.6357075644;40.6394119344;40.2950101368
211;2032;43.6575254202;40.6597316478;40.3151576418
211;2033;43.6793541858;40.6800615072;40.3353152244
211;2034;43.7011938612;40.7004015354;40.3554828846
211;2035;43.7230444578;40.7207517438;40.3756606224
211;2036;43.7449059756;40.741112121;40.3958484606
211;2037;43.766778426;40.7614826784;40.4160463764
211;2038;43.7886618204;40.781863416;40.436254404
211;2039;43.8105561474;40.8022543452;40.456472532
211;2040;43.8324614298;40.8226554774;40.4767007604
211;2041;43.8543776562;40.8430668012;40.496939112
211;2042;43.8763048494;40.8634883394;40.5171875868
211;2043;43.898242998;40.8839200806;40.5374461848
211;2044;43.9201921248;40.9043620362;40.557714906
211;2045;43.9421522184;40.9248142176;40.5779937618
211;2046;43.9641232902;40.9452766248;40.5982827522
211;2047;43.9861053516;40.9657492692;40.6185819
211;2048;44.0080984026;40.9862321394;40.6388911938
211;2049;44.0301024546;41.0067252582;40.6592106336
211;2050;44.0521175076;41.0272286142;40.6795402422
562;2017;46.74;43.542;43.173
562;2018;46.77567615;43.563771;43.1945865
562;2019;46.799063985;43.5855528855;43.2161837994
562;2020;46.8224635173;43.6073456565;43.2377918859
562;2021;46.8458747469;43.6291493376;43.2594107841
562;2022;46.8692976861;43.6509639042;43.2810404817
562;2023;46.8927323349;43.6727893932;43.3026810033
562;2024;46.9161787056;43.69462578;43.3243323489
562;2025;46.9396367982;43.7164731015;43.3459945185
562;2026;46.9631066127;43.7383313331;43.3676675121
562;2027;46.9865881614;43.7602004994;43.389351342
562;2028;47.0100814566;43.7820806004;43.4110460205
562;2029;47.0335864983;43.8039716361;43.4327515476
562;2030;47.0571032988;43.8258736311;43.4544679233
562;2031;47.0806318458;43.8477865608;43.4761951476
562;2032;47.1041721639;43.8697104621;43.4979332451
562;2033;47.1277242531;43.8916453104;43.5196822158
562;2034;47.1512881134;43.9135911303;43.5414420597
562;2035;47.1748637571;43.9355479341;43.5632127768
562;2036;47.1984511842;43.9575157095;43.5849943917
562;2037;47.222050407;43.9794944688;43.6067868798
562;2038;47.2456614378;44.001484212;43.628590278
562;2039;47.2692842643;44.0234849514;43.650404574
562;2040;47.2929189111;44.0454966993;43.6722297678
562;2041;47.3165653659;44.0675194434;43.694065884
562;2042;47.3402236533;44.0895532083;43.7159129226
562;2043;47.363893761;44.1115979817;43.7377708836
562;2044;47.3875757136;44.1336537759;43.759639767
562;2045;47.4112694988;44.1557206032;43.7815195851
562;2046;47.4349751289;44.1777984636;43.8034103379
