scenario;rakv;rakennus_tyyppi;vesi_kwh_m2
eu80;2019;tsto;3
eu80;2019;liiken;2
eu80;2019;hoito;26
eu80;2019;kokoon;6
eu80;2019;opetus;8
eu80;2019;teoll;8
eu80;2019;varast;4
eu80;2019;muut;8
eu80;2020;erpien;27
eu80;2020;rivita;29
eu80;2020;askert;26
eu80;2020;liike;33
eu80;2020;tsto;3
eu80;2020;liiken;2
eu80;2020;hoito;26
eu80;2020;kokoon;6
eu80;2020;opetus;8
eu80;2020;teoll;8
eu80;2020;varast;4
eu80;2020;muut;8
eu80;2021;erpien;27
eu80;2021;rivita;29
eu80;2021;askert;26
eu80;2021;liike;33
eu80;2021;tsto;3
eu80;2021;liiken;2
eu80;2021;hoito;26
eu80;2021;kokoon;6
eu80;2021;opetus;8
eu80;2021;teoll;8
eu80;2021;varast;4
eu80;2021;muut;8
eu80;2022;erpien;27
eu80;2022;rivita;29
eu80;2022;askert;26
eu80;2022;liike;33
eu80;2022;tsto;3
eu80;2022;liiken;2
eu80;2022;hoito;26
eu80;2022;kokoon;6
eu80;2022;opetus;8
eu80;2022;teoll;8
eu80;2022;varast;4
eu80;2022;muut;8
eu80;2023;erpien;27
eu80;2023;rivita;29
eu80;2023;askert;26
eu80;2023;liike;33
eu80;2023;tsto;3
eu80;2023;liiken;2
eu80;2023;hoito;26
eu80;2023;kokoon;6
eu80;2023;opetus;8
eu80;2023;teoll;8
eu80;2023;varast;4
eu80;2023;muut;8
eu80;2024;erpien;27
eu80;2024;rivita;29
eu80;2024;askert;26
eu80;2024;liike;33
eu80;2024;tsto;3
eu80;2024;liiken;2
eu80;2024;hoito;26
eu80;2024;kokoon;6
eu80;2024;opetus;8
eu80;2024;teoll;8
eu80;2024;varast;4
eu80;2024;muut;8
eu80;2025;erpien;27
eu80;2025;rivita;29
eu80;2025;askert;26
eu80;2025;liike;33
eu80;2025;tsto;3
eu80;2025;liiken;2
eu80;2025;hoito;26
eu80;2025;kokoon;6
eu80;2025;opetus;8
eu80;2025;teoll;8
eu80;2025;varast;4
eu80;2025;muut;8
eu80;2026;erpien;27
eu80;2026;rivita;29
eu80;2026;askert;26
eu80;2026;liike;33
eu80;2026;tsto;3
eu80;2026;liiken;2
eu80;2026;hoito;26
eu80;2026;kokoon;6
eu80;2026;opetus;8
eu80;2026;teoll;7
eu80;2026;varast;4
eu80;2026;muut;7
eu80;2027;erpien;27
eu80;2027;rivita;29
eu80;2027;askert;26
eu80;2027;liike;33
eu80;2027;tsto;3
eu80;2027;liiken;2
eu80;2027;hoito;26
eu80;2027;kokoon;6
eu80;2027;opetus;8
eu80;2027;teoll;7
eu80;2027;varast;4
eu80;2027;muut;7
eu80;2028;erpien;27
eu80;2028;rivita;29
eu80;2028;askert;26
eu80;2028;liike;33
eu80;2028;tsto;3
eu80;2028;liiken;2
eu80;2028;hoito;26
eu80;2028;kokoon;6
eu80;2028;opetus;8
eu80;2028;teoll;7
eu80;2028;varast;4
eu80;2028;muut;7
eu80;2029;erpien;27
eu80;2029;rivita;29
eu80;2029;askert;26
eu80;2029;liike;33
eu80;2029;tsto;3
eu80;2029;liiken;2
eu80;2029;hoito;26
eu80;2029;kokoon;6
eu80;2029;opetus;8
eu80;2029;teoll;7
eu80;2029;varast;4
eu80;2029;muut;7
eu80;2030;erpien;27
eu80;2030;rivita;29
eu80;2030;askert;26
eu80;2030;liike;33
eu80;2030;tsto;3
eu80;2030;liiken;2
eu80;2030;hoito;26
eu80;2030;kokoon;6
eu80;2030;opetus;8
eu80;2030;teoll;7
eu80;2030;varast;4
eu80;2030;muut;7
eu80;2031;erpien;27
eu80;2031;rivita;29
eu80;2031;askert;26
eu80;2031;liike;33
eu80;2031;tsto;3
eu80;2031;liiken;2
eu80;2031;hoito;26
eu80;2031;kokoon;6
eu80;2031;opetus;8
eu80;2031;teoll;7
eu80;2031;varast;4
eu80;2031;muut;7
eu80;2032;erpien;27
eu80;2032;rivita;29
eu80;2032;askert;26
eu80;2032;liike;33
eu80;2032;tsto;3
eu80;2032;liiken;2
eu80;2032;hoito;26
eu80;2032;kokoon;6
eu80;2032;opetus;8
eu80;2032;teoll;7
eu80;2032;varast;4
eu80;2032;muut;7
eu80;2033;erpien;27
eu80;2033;rivita;29
eu80;2033;askert;26
eu80;2033;liike;33
eu80;2033;tsto;3
eu80;2033;liiken;2
eu80;2033;hoito;26
eu80;2033;kokoon;6
eu80;2033;opetus;8
eu80;2033;teoll;7
eu80;2033;varast;4
eu80;2033;muut;7
eu80;2034;erpien;27
eu80;2034;rivita;29
eu80;2034;askert;26
eu80;2034;liike;33
eu80;2034;tsto;3
eu80;2034;liiken;2
eu80;2034;hoito;26
eu80;2034;kokoon;6
eu80;2034;opetus;8
eu80;2034;teoll;7
eu80;2034;varast;4
eu80;2034;muut;7
eu80;2035;erpien;27
eu80;2035;rivita;29
eu80;2035;askert;26
eu80;2035;liike;33
eu80;2035;tsto;3
eu80;2035;liiken;2
eu80;2035;hoito;26
eu80;2035;kokoon;6
eu80;2035;opetus;8
eu80;2035;teoll;7
eu80;2035;varast;4
eu80;2035;muut;7
eu80;2036;erpien;27
eu80;2036;rivita;29
eu80;2036;askert;26
eu80;2036;liike;33
eu80;2036;tsto;3
eu80;2036;liiken;2
eu80;2036;hoito;26
eu80;2036;kokoon;6
eu80;2036;opetus;8
eu80;2036;teoll;7
eu80;2036;varast;4
eu80;2036;muut;7
eu80;2037;erpien;27
eu80;2037;rivita;29
eu80;2037;askert;26
eu80;2037;liike;33
eu80;2037;tsto;3
eu80;2037;liiken;2
eu80;2037;hoito;26
eu80;2037;kokoon;6
eu80;2037;opetus;8
eu80;2037;teoll;7
eu80;2037;varast;4
eu80;2037;muut;7
eu80;2038;erpien;27
eu80;2038;rivita;29
eu80;2038;askert;26
eu80;2038;liike;33
eu80;2038;tsto;3
eu80;2038;liiken;2
eu80;2038;hoito;26
eu80;2038;kokoon;6
eu80;2038;opetus;8
eu80;2038;teoll;7
eu80;2038;varast;4
eu80;2038;muut;7
eu80;2039;erpien;27
eu80;2039;rivita;29
eu80;2039;askert;26
eu80;2039;liike;33
eu80;2039;tsto;3
eu80;2039;liiken;2
eu80;2039;hoito;26
eu80;2039;kokoon;6
eu80;2039;opetus;8
eu80;2039;teoll;7
eu80;2039;varast;4
eu80;2039;muut;7
eu80;2040;erpien;27
eu80;2040;rivita;29
eu80;2040;askert;26
eu80;2040;liike;33
eu80;2040;tsto;3
eu80;2040;liiken;2
eu80;2040;hoito;26
eu80;2040;kokoon;6
eu80;2040;opetus;8
eu80;2040;teoll;7
eu80;2040;varast;4
eu80;2040;muut;7
eu80;2041;erpien;27
eu80;2041;rivita;29
eu80;2041;askert;26
eu80;2041;liike;33
eu80;2041;tsto;3
eu80;2041;liiken;2
eu80;2041;hoito;26
eu80;2041;kokoon;6
eu80;2041;opetus;8
eu80;2041;teoll;7
eu80;2041;varast;4
eu80;2041;muut;7
eu80;2042;erpien;27
eu80;2042;rivita;29
eu80;2042;askert;26
eu80;2042;liike;33
eu80;2042;tsto;3
